Exercise Name,Body Part/Muscle,Equipment,Level,Sets and Reps
Push-Up,Chest,Bodyweight,Easy,3 sets of 10-15
Squat,Quads,Bodyweight,Easy,3 sets of 12-15
Plank,Core,Bodyweight,Easy,3 sets of 30-60 sec
Lunges,Quads,Bodyweight,Easy,3 sets of 10-12 per leg
Mountain Climbers,Core,Bodyweight,Easy,3 sets of 20-30
Tricep Dips,Triceps,Bodyweight,Easy,3 sets of 10-12
Bicycle Crunches,Core,Bodyweight,Easy,3 sets of 15-20
Wall Sit,Quads,Bodyweight,Easy,3 sets of 30-60 sec
Calf Raises,Calves,Bodyweight,Easy,3 sets of 15-20
Glute Bridge,Glutes,Bodyweight,Easy,3 sets of 12-15
Dumbbell Bench Press,Chest,Dumbbells,Intermediate,3 sets of 8-12
Dumbbell Squat,Quads,Dumbbells,Intermediate,3 sets of 10-12
Bent-Over Row,Back,Dumbbells,Intermediate,3 sets of 8-12
Shoulder Press,Shoulders,Dumbbells,Intermediate,3 sets of 8-12
Dumbbell Deadlift,Hamstrings,Dumbbells,Intermediate,3 sets of 10-12
Bicep Curl,Biceps,Dumbbells,Intermediate,3 sets of 10-12
Tricep Extension,Triceps,Dumbbells,Intermediate,3 sets of 10-12
Russian Twist,Core,Dumbbells,Intermediate,3 sets of 15-20
Goblet Squat,Quads,Dumbbells,Intermediate,3 sets of 10-12
Dumbbell Lunge,Quads,Dumbbells,Intermediate,3 sets of 8-12 per leg
Barbell Bench Press,Chest,Barbell,Hard,4 sets of 6-10
Barbell Squat,Quads,Barbell,Hard,4 sets of 6-10
Deadlift,Hamstrings,Barbell,Hard,4 sets of 6-8
Barbell Row,Back,Barbell,Hard,4 sets of 6-10
Overhead Press,Shoulders,Barbell,Hard,4 sets of 6-8
Barbell Curl,Biceps,Barbell,Intermediate,3 sets of 8-12
Barbell Hip Thrust,Glutes,Barbell,Intermediate,3 sets of 10-12
Pull-Up,Back,Pull-Up Bar,Intermediate,3 sets of 6-10
Chin-Up,Biceps,Pull-Up Bar,Intermediate,3 sets of 6-10
Hanging Leg Raise,Core,Pull-Up Bar,Intermediate,3 sets of 12-15
Kettlebell Swing,Glutes,Kettlebell,Intermediate,3 sets of 15-20
Kettlebell Goblet Squat,Quads,Kettlebell,Intermediate,3 sets of 10-12
Kettlebell Snatch,Full Body,Kettlebell,Hard,4 sets of 8-12
Kettlebell Clean,Full Body,Kettlebell,Hard,4 sets of 8-12
Burpee,Full Body,Bodyweight,Intermediate,3 sets of 10-15
Jump Squat,Quads,Bodyweight,Intermediate,3 sets of 12-15
Box Jump,Quads,Box,Intermediate,3 sets of 10-12
Incline Push-Up,Chest,Bodyweight,Easy,3 sets of 10-15
Side Plank,Core,Bodyweight,Easy,3 sets of 30-45 sec per side
Step-Up,Quads,Step/Bench,Intermediate,3 sets of 10-12 per leg
Lat Pulldown,Back,Lat Pulldown Machine,Intermediate,3 sets of 8-12
Leg Press,Quads,Leg Press Machine,Intermediate,3 sets of 10-12
Seated Row,Back,Cable Machine,Intermediate,3 sets of 8-12
Cable Fly,Chest,Cable Machine,Intermediate,3 sets of 10-12
Face Pull,Shoulders,Cable Machine,Intermediate,3 sets of 10-12
Cable Crunch,Core,Cable Machine,Intermediate,3 sets of 15-20
Romanian Deadlift,Hamstrings,Barbell,Hard,4 sets of 6-10
Front Squat,Quads,Barbell,Hard,4 sets of 6-10
Power Clean,Full Body,Barbell,Hard,4 sets of 5-8
Snatch,Full Body,Barbell,Hard,4 sets of 5-8
Thruster,Full Body,Barbell,Hard,4 sets of 8-12
Dumbbell Fly,Chest,Dumbbells,Intermediate,3 sets of 10-12
Arnold Press,Shoulders,Dumbbells,Intermediate,3 sets of 8-12
Hammer Curl,Biceps,Dumbbells,Intermediate,3 sets of 10-12
Skull Crusher,Triceps,Dumbbells,Intermediate,3 sets of 10-12
Single-Leg Deadlift,Hamstrings,Dumbbells,Intermediate,3 sets of 8-12 per leg
Farmer’s Carry,Full Body,Dumbbells,Intermediate,3 sets of 30-60 sec
Side Lunge,Quads,Bodyweight,Intermediate,3 sets of 10-12 per side
Reverse Crunch,Core,Bodyweight,Easy,3 sets of 15-20
Superman,Lower Back,Bodyweight,Easy,3 sets of 12-15
High Knees,Core,Bodyweight,Easy,3 sets of 20-30
Jumping Jacks,Full Body,Bodyweight,Easy,3 sets of 30-50
Handstand Push-Up,Shoulders,Bodyweight,Hard,4 sets of 5-10
Pistol Squat,Quads,Bodyweight,Hard,4 sets of 5-8 per leg
Muscle-Up,Back,Pull-Up Bar,Hard,4 sets of 5-8
Toes-to-Bar,Core,Pull-Up Bar,Hard,4 sets of 10-15
One-Arm Pull-Up,Back,Pull-Up Bar,Hard,4 sets of 3-5 per arm
Decline Push-Up,Chest,Bodyweight,Intermediate,3 sets of 10-15
Bulgarian Split Squat,Quads,Dumbbells,Intermediate,3 sets of 8-12 per leg
Chest Dip,Chest,Parallel Bars,Intermediate,3 sets of 8-12
Reverse Fly,Shoulders,Dumbbells,Intermediate,3 sets of 10-12
Plank with Shoulder Tap,Core,Bodyweight,Intermediate,3 sets of 20-30 taps
Wall Ball,Full Body,Medicine Ball,Intermediate,3 sets of 12-15
Medicine Ball Slam,Core,Medicine Ball,Intermediate,3 sets of 15-20
Battle Rope,Full Body,Battle Rope,Intermediate,3 sets of 30-60 sec
Sled Push,Full Body,Sled,Hard,4 sets of 20-30 meters
Sled Pull,Back,Sled,Hard,4 sets of 20-30 meters
Tire Flip,Full Body,Tire,Hard,4 sets of 8-12
Clap Push-Up,Chest,Bodyweight,Hard,4 sets of 8-12
L-Sit,Core,Parallel Bars,Hard,4 sets of 20-30 sec
Dragon Flag,Core,Bodyweight,Hard,4 sets of 8-12
Nordic Hamstring Curl,Hamstrings,Bodyweight,Hard,4 sets of 6-10
Single-Leg Calf Raise,Calves,Bodyweight,Intermediate,3 sets of 12-15 per leg
Seated Calf Raise,Calves,Machine,Intermediate,3 sets of 12-15
Lateral Raise,Shoulders,Dumbbells,Intermediate,3 sets of 10-12
Front Raise,Shoulders,Dumbbells,Intermediate,3 sets of 10-12
Shrug,Traps,Dumbbells,Intermediate,3 sets of 12-15
Concentration Curl,Biceps,Dumbbells,Intermediate,3 sets of 10-12
Kickback,Triceps,Dumbbells,Intermediate,3 sets of 10-12
Hip Abduction,Glutes,Machine,Intermediate,3 sets of 12-15
Hip Adduction,Inner Thighs,Machine,Intermediate,3 sets of 12-15
Leg Curl,Hamstrings,Machine,Intermediate,3 sets of 10-12
Leg Extension,Quads,Machine,Intermediate,3 sets of 10-12
Incline Bench Press,Chest,Barbell,Hard,4 sets of 6-10
Sumo Deadlift,Hamstrings,Barbell,Hard,4 sets of 6-10
Clean and Jerk,Full Body,Barbell,Hard,4 sets of 5-8
Overhead Squat,Quads,Barbell,Hard,4 sets of 6-10
Weighted Pull-Up,Back,Pull-Up Bar,Hard,4 sets of 6-10
Weighted Dip,Chest,Parallel Bars,Hard,4 sets of 6-10
Wide Push-Up,Chest, Shoulders,Bodyweight,Easy,3 x 10-15
Bodyweight Squat,Quads, Glutes,Bodyweight,Easy,3 x 12-15
Forearm Plank,Core,Bodyweight,Easy,3 x 30-60 sec
Reverse Lunge,Quads, Glutes,Bodyweight,Easy,3 x 10-12 per leg
Skater Jump,Quads, Glutes,Bodyweight,Intermediate,3 x 20-30
Bench Dip,Triceps,Bench,Easy,3 x 10-15
Scissor Kicks,Core (Lower Abs),Bodyweight,Easy,3 x 20-30
Isometric Squat Hold,Quads,Bodyweight,Easy,3 x 30-60 sec
Standing Calf Raise,Calves,Bodyweight,Easy,3 x 15-20
Single-Leg Glute Bridge,Glutes,Bodyweight,Intermediate,3 x 10-12 per leg
Incline Dumbbell Press,Chest,Dumbbells, Bench,Intermediate,3 x 8-12
Dumbbell Front Squat,Quads,Dumbbells,Intermediate,3 x 10-12
Single-Arm Dumbbell Row,Back, Biceps,Dumbbell,Intermediate,3 x 10-12 per arm
Dumbbell Lateral Press,Shoulders,Dumbbells,Intermediate,3 x 10-12
Dumbbell Stiff-Leg Deadlift,Hamstrings,Dumbbells,Intermediate,3 x 10-12
Alternating Dumbbell Curl,Biceps,Dumbbells,Easy,3 x 10-12 per arm
Overhead Tricep Extension,Triceps,Dumbbell,Intermediate,3 x 10-12
Weighted Russian Twist,Core (Obliques),Dumbbell,Intermediate,3 x 20-30
Dumbbell Reverse Lunge,Quads, Glutes,Dumbbells,Intermediate,3 x 10-12 per leg
Dumbbell Step-Up,Quads, Glutes,Dumbbells, Bench,Intermediate,3 x 10-12 per leg
Decline Barbell Press,Chest,Barbell, Bench,Hard,4 x 6-10
Barbell Back Squat,Quads, Glutes,Barbell,Hard,4 x 6-10
Conventional Deadlift,Hamstrings, Back,Barbell,Hard,4 x 6-8
Pendlay Row,Back,Barbell,Hard,4 x 6-10
Push Press,Shoulders,Barbell,Hard,4 x 6-8
EZ Bar Curl,Biceps,EZ Bar,Intermediate,3 x 8-12
Barbell Glute Bridge,Glutes,Barbell,Intermediate,3 x 10-12
Wide-Grip Pull-Up,Back,Pull-Up Bar,Hard,3 x 6-10
Neutral-Grip Chin-Up,Biceps, Back,Pull-Up Bar,Intermediate,3 x 6-10
Hanging Knee Raise,Core (Lower Abs),Pull-Up Bar,Intermediate,3 x 12-15
Double Kettlebell Swing,Glutes, Hamstrings,Kettlebells,Intermediate,3 x 15-20
Kettlebell Front Squat,Quads,Kettlebell,Intermediate,3 x 10-12
Kettlebell Turkish Get-Up,Full Body,Kettlebell,Hard,3 x 5-8 per side
Kettlebell Press,Shoulders,Kettlebell,Intermediate,3 x 10-12
Tuck Jump,Quads, Glutes,Bodyweight,Hard,3 x 10-15
Split Squat Jump,Quads,Bodyweight,Intermediate,3 x 12-15 per leg
Lateral Box Jump,Quads, Glutes,Box,Hard,3 x 8-12
Knee Push-Up,Chest, Triceps,Bodyweight,Easy,3 x 10-15
Plank with Leg Lift,Core,Bodyweight,Intermediate,3 x 20-30 per leg
Weighted Step-Up,Quads, Glutes,Dumbbells, Bench,Intermediate,3 x 10-12 per leg
Wide-Grip Lat Pulldown,Back,Lat Pulldown Machine,Intermediate,3 x 8-12
Hack Squat,Quads,Hack Squat Machine,Intermediate,3 x 10-12
Cable Reverse Row,Back,Cable Machine,Intermediate,3 x 10-12
Cable Chest Press,Chest,Cable Machine,Intermediate,3 x 10-12
Rear Delt Cable Fly,Shoulders,Cable Machine,Intermediate,3 x 12-15
Weighted Cable Crunch,Core,Cable Machine,Intermediate,3 x 15-20
Barbell Stiff-Leg Deadlift,Hamstrings,Barbell,Hard,4 x 6-10
Barbell Split Squat,Quads, Glutes,Barbell,Hard,4 x 8-12 per leg
Hang Clean,Full Body,Barbell,Hard,4 x 5-8
Barbell Snatch,Full Body,Barbell,Hard,4 x 5-8
Dumbbell Thruster,Full Body,Dumbbells,Hard,3 x 10-12
Incline Dumbbell Fly,Chest,Dumbbells, Bench,Intermediate,3 x 10-12
Seated Dumbbell Press,Shoulders,Dumbbells,Intermediate,3 x 8-12
Reverse Grip Dumbbell Curl,Biceps,Dumbbells,Intermediate,3 x 10-12
Dumbbell Tricep Kickback,Triceps,Dumbbells,Easy,3 x 12-15
Single-Leg Romanian Deadlift,Hamstrings,Dumbbell,Hard,3 x 8-12 per leg
Weighted Farmer’s Walk,Full Body, Grip,Dumbbells,Intermediate,3 x 30-60 sec
Lateral Hop,Quads, Glutes,Bodyweight,Intermediate,3 x 20-30
Decline Crunch,Core,Bodyweight,Intermediate,3 x 15-20
Prone Cobra,Lower Back,Bodyweight,Easy,3 x 12-15
Speed Skater,Quads, Glutes,Bodyweight,Intermediate,3 x 20-30
Star Jump,Full Body,Bodyweight,Intermediate,3 x 20-30
Wall Handstand Push-Up,Shoulders,Bodyweight,Hard,4 x 5-10
Single-Leg Pistol Squat,Quads,Bodyweight,Hard,4 x 5-8 per leg
Bar Muscle-Up,Back, Chest,Pull-Up Bar,Hard,4 x 5-8
Hanging Windshield Wiper,Core (Obliques),Pull-Up Bar,Hard,4 x 10-15
One-Arm Chin-Up,Back, Biceps,Pull-Up Bar,Hard,4 x 3-5 per arm
Pike Push-Up,Shoulders, Triceps,Bodyweight,Intermediate,3 x 10-12
Weighted Bulgarian Split Squat,Quads, Glutes,Dumbbells,Hard,3 x 8-12 per leg
Tricep Dip,Triceps,Parallel Bars,Intermediate,3 x 8-12
Dumbbell Rear Delt Raise,Shoulders,Dumbbells,Intermediate,3 x 12-15
Plank with Arm Raise,Core, Shoulders,Bodyweight,Intermediate,3 x 20-30 per arm
Wall Ball Squat,Full Body,Medicine Ball,Intermediate,3 x 12-15
Medicine Ball Russian Twist,Core (Obliques),Medicine Ball,Intermediate,3 x 20-30
Double Under,Full Body,Jump Rope,Intermediate,3 x 30-50
Weighted Sled Push,Full Body,Sled,Hard,4 x 20-30 meters
Weighted Sled Pull,Back,Sled,Hard,4 x 20-30 meters
Tire Swing,Full Body,Tire,Hard,4 x 8-12
Explosive Push-Up,Chest,Bodyweight,Hard,4 x 8-12
Parallel Bar L-Sit,Core,Parallel Bars,Hard,4 x 20-30 sec
Reverse Dragon Flag,Core,Bench,Hard,4 x 8-12
Kneeling Nordic Curl,Hamstrings,Bodyweight,Hard,4 x 6-10
Single-Leg Standing Calf Raise,Calves,Bodyweight,Intermediate,3 x 12-15 per leg
Standing Machine Calf Raise,Calves,Machine,Intermediate,3 x 12-15
Cable Lateral Raise,Shoulders,Cable Machine,Intermediate,3 x 12-15
Dumbbell Front Raise,Shoulders,Dumbbells,Intermediate,3 x 10-12
Barbell Shrug,Traps,Barbell,Intermediate,3 x 12-15
Spider Curl,Biceps,Dumbbells,Intermediate,3 x 10-12
Cable Tricep Overhead Extension,Triceps,Cable Machine,Intermediate,3 x 10-12
Hip Thrust Machine,Glutes,Machine,Intermediate,3 x 12-15
Inner Thigh Machine,Inner Thighs,Machine,Intermediate,3 x 12-15
Lying Leg Curl,Hamstrings,Machine,Intermediate,3 x 10-12
Quad Extension,Quads,Machine,Intermediate,3 x 10-12
Decline Barbell Bench Press,Chest,Barbell, Bench,Hard,4 x 6-10
Barbell Sumo Squat,Glutes, Quads,Barbell,Hard,4 x 6-10
Clean Pull,Full Body,Barbell,Hard,4 x 5-8
Overhead Lunge,Quads, Shoulders,Barbell,Hard,4 x 8-12 per leg
Weighted Wide Pull-Up,Back,Pull-Up Bar, Weight,Hard,4 x 6-10
Weighted Chest Dip,Chest,Parallel Bars, Weight,Hard,4 x 6-10
Side-to-Side Push-Up,Chest, Triceps,Bodyweight,Intermediate,3 x 10-12
Curtsy Lunge,Glutes, Quads,Bodyweight,Intermediate,3 x 10-12 per leg
Plank Up-Down,Core,Bodyweight,Intermediate,3 x 20-30
Donkey Kick,Glutes,Bodyweight,Easy,3 x 12-15 per leg
Fire Hydrant,Glutes,Bodyweight,Easy,3 x 12-15 per leg
Dumbbell Pullover,Chest, Lats,Dumbbell, Bench,Intermediate,3 x 10-12
Dumbbell Side Bend,Core (Obliques),Dumbbell,Intermediate,3 x 15-20 per side
Cable Woodchopper,Core (Obliques),Cable Machine,Intermediate,3 x 15-20 per side
Barbell Landmine Press,Shoulders,Barbell,Intermediate,3 x 10-12
Landmine Squat,Quads,Barbell,Intermediate,3 x 10-12
Trap Bar Jump,Quads, Glutes,Trap Bar,Hard,4 x 8-12
Reverse Hyper,Lower Back, Glutes,Machine,Intermediate,3 x 12-15
Cable Kickback,Glutes,Cable Machine,Intermediate,3 x 12-15 per leg
Incline Dumbbell Row,Back,Dumbbells, Bench,Intermediate,3 x 10-12
Dumbbell Z-Press,Shoulders,Dumbbells,Hard,3 x 8-12
Barbell Zercher Squat,Quads, Core,Barbell,Hard,4 x 6-10
Cable Bicep Curl,Biceps,Cable Machine,Intermediate,3 x 10-12
Cable Tricep Pushdown,Triceps,Cable Machine,Intermediate,3 x 12-15
Single-Leg Box Squat,Quads,Box,Hard,3 x 8-12 per leg
Weighted Plank,Core,Weight Plate,Intermediate,3 x 30-60 sec
Side Plank with Hip Dip,Core (Obliques),Bodyweight,Intermediate,3 x 20-30 per side
Dumbbell Clean,Full Body,Dumbbells,Hard,3 x 8-12
Barbell Rollout,Core,Barbell,Hard,4 x 10-15
Single-Arm Kettlebell Swing,Glutes, Hamstrings,Kettlebell,Intermediate,3 x 15-20 per arm
Dumbbell Goblet Lunge,Quads, Glutes,Dumbbell,Intermediate,3 x 10-12 per leg
Reverse Grip Lat Pulldown,Back, Biceps,Lat Pulldown Machine,Intermediate,3 x 8-12
Seated Leg Press,Quads,Leg Press Machine,Intermediate,3 x 10-12
Standing Cable Row,Back,Cable Machine,Intermediate,3 x 10-12
Incline Cable Fly,Chest,Cable Machine,Intermediate,3 x 10-12
Standing Face Pull,Shoulders,Cable Machine,Intermediate,3 x 12-15
Weighted Hanging Leg Raise,Core (Lower Abs),Pull-Up Bar, Weight,Hard,4 x 10-15
Barbell Bench Pull,Back,Barbell,Hard,4 x 6-10
Dumbbell Walking Lunge,Quads, Glutes,Dumbbells,Intermediate,3 x 12-15 per leg
Barbell Upright Row,Shoulders, Traps,Barbell,Intermediate,3 x 10-12
Weighted Superman,Lower Back,Weight Plate,Intermediate,3 x 12-15
Lateral Plank Walk,Core, Shoulders,Bodyweight,Intermediate,3 x 10-12 per side
Barbell Reverse Lunge,Quads, Glutes,Barbell,Hard,4 x 8-12 per leg
Dumbbell Decline Press,Chest,Dumbbells, Bench,Intermediate,3 x 8-12
Single-Arm Overhead Press,Shoulders,Dumbbell,Hard,3 x 8-12 per arm
Preacher Curl,Biceps,EZ Bar, Bench,Intermediate,3 x 10-12
Close-Grip Bench Press,Triceps,Barbell,Hard,4 x 6-10
Weighted Box Jump,Quads, Glutes,Box, Weight,Hard,4 x 8-12
Side Plank with Leg Raise,Core (Obliques),Bodyweight,Intermediate,3 x 20-30 per side
Dumbbell Romanian Deadlift,Hamstrings,Dumbbells,Intermediate,3 x 10-12
Barbell Floor Press,Chest, Triceps,Barbell,Hard,4 x 6-10
Cable Reverse Fly,Shoulders,Cable Machine,Intermediate,3 x 12-15
Single-Leg Hip Thrust,Glutes,Bench,Intermediate,3 x 10-12 per leg
Kneeling Cable Crunch,Core,Cable Machine,Intermediate,3 x 15-20
Dumbbell Arnold Press,Shoulders,Dumbbells,Intermediate,3 x 10-12
Barbell Good Morning,Hamstrings, Lower Back,Barbell,Hard,4 x 6-10
Weighted Burpee,Full Body,Dumbbells,Hard,4 x 10-15
Single-Arm Cable Row,Back,Cable Machine,Intermediate,3 x 10-12 per arm
Dumbbell Incline Curl,Biceps,Dumbbells, Bench,Intermediate,3 x 10-12
Overhead Cable Tricep Extension,Triceps,Cable Machine,Intermediate,3 x 12-15
Barbell Jump Squat,Quads, Glutes,Barbell,Hard,4 x 8-12
Weighted V-Up,Core,Weight Plate,Intermediate,3 x 12-15
Lateral Step-Up,Quads, Glutes,Bench,Intermediate,3 x 10-12 per leg
Dumbbell Chest Press,Chest,Dumbbells, Bench,Intermediate,3 x 8-12
Barbell Reverse Curl,Biceps, Forearms,Barbell,Intermediate,3 x 10-12
Single-Leg Calf Raise with Dumbbell,Calves,Dumbbell,Intermediate,3 x 12-15 per leg
Wall Push-Up,Chest, Triceps,Bodyweight,Easy,3 x 10-15
Trap Bar Carry,Full Body, Grip,Trap Bar,Intermediate,3 x 30-60 sec
Lateral Box Step-Up,Quads, Glutes,Box,Intermediate,3 x 10-12 per leg
Cable Shoulder Press,Shoulders,Cable Machine,Intermediate,3 x 10-12
Decline Sit-Up,Core,Bench,Intermediate,3 x 15-20
Dumbbell Reverse Chop,Core (Obliques),Dumbbell,Intermediate,3 x 15-20 per side
Barbell Clean and Press,Full Body,Barbell,Hard,4 x 5-8
Single-Leg Plank,Core,Bodyweight,Intermediate,3 x 30-45 sec per leg
Dumbbell Lateral Lunge,Quads, Glutes,Dumbbell,Intermediate,3 x 10-12 per leg
Barbell Incline Row,Back,Barbell, Bench,Hard,4 x 6-10